Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
601.0,10.0,10.0,0.011160214547930444
602.0,10.0,10.0,0.011149819465038796
603.0,10.0,10.0,0.011139517518152483
604.0,9.0,9.0,0.01113032470740063
605.0,11.0,11.0,0.01111918970201901
606.0,11.0,11.0,0.011108164389315998
607.0,10.0,10.0,0.011098235656130348
608.0,10.0,10.0,0.011088395880633307
609.0,10.0,10.0,0.011078644265797678
610.0,9.0,9.0,0.011069942536823713
611.0,10.0,10.0,0.011060356256958991
612.0,10.0,10.0,0.011050855866530837
613.0,10.0,10.0,0.011041440596002428
614.0,10.0,10.0,0.011032109682731703
615.0,9.0,9.0,0.011023783361426972
616.0,10.0,10.0,0.011014610650289964
617.0,11.0,11.0,0.01100461556217302
618.0,10.0,10.0,0.010995614587257082
619.0,9.0,9.0,0.010987582682230053
620.0,9.0,9.0,0.010979615572857072
621.0,10.0,10.0,0.01097083858837609
622.0,10.0,10.0,0.01096214024235157
623.0,9.0,9.0,0.010954378384351336
624.0,10.0,10.0,0.010945827515520201
625.0,10.0,10.0,0.010937353259234955
626.0,14.0,14.0,0.010925616703742416
627.0,10.0,10.0,0.010917323528675393
628.0,9.0,9.0,0.01090992321980519
629.0,9.0,9.0,0.010902582611323852
630.0,10.0,10.0,0.010894495813000208
631.0,10.0,10.0,0.010886481469326484
632.0,10.0,10.0,0.010878538931136461
633.0,11.0,11.0,0.010869884306795228
634.0,10.0,10.0,0.010862090472894931
635.0,11.0,11.0,0.010853597884887009
636.0,9.0,9.0,0.01084671166884474
637.0,9.0,9.0,0.0108398810058588
638.0,10.0,10.0,0.010832355990170456
639.0,9.0,9.0,0.0108256411385127
640.0,15.0,15.0,0.010814569882266633
641.0,9.0,9.0,0.010807998516181822
642.0,10.0,10.0,0.010800759155524762
643.0,10.0,10.0,0.010793584656797113
644.0,9.0,9.0,0.01078718258447326
645.0,19.0,19.0,0.010773836199090253
646.0,9.0,9.0,0.010767593443171325
647.0,9.0,9.0,0.010761401049333557
648.0,10.0,10.0,0.010754579184329599
649.0,10.0,10.0,0.010747818440652139
650.0,10.0,10.0,0.010741118270677244
651.0,9.0,9.0,0.0107351394595589
652.0,10.0,10.0,0.010728552888452146
653.0,8.0,8.0,0.010723326146505804
654.0,10.0,10.0,0.010716845418209442
655.0,10.0,10.0,0.010710422754783892
